time,pressure1, temperature1,pressure2,temperature2,x,y,z,counter,session
11832.2333,10.6667,20.56,0.0,21.2,0,0,544,64,80
11832.4333,-8.5333,20.56,0.0,21.16,0,0,576,0,80
11832.6333,-22.9333,20.48,0.0167,21.2,0,32,576,0,80
11832.8333,-26.1333,20.48,0.0,21.24,0,1,576,0,80
11833.0333,-19.7,20.48,0.0,21.2,0,2,544,0,80
11833.2333,-15.4667,20.56,0.0167,21.2,0,0,524,0,80
11833.4333,0.0,20.5,0.0167,21.12,1,4,544,0,80
11833.6333,0.0667,20.48,0.0,21.12,0,0,544,0,80
11833.8333,0.5333,20.48,0.0,21.13,0,0,544,0,80
11834.0333,0.1,20.48,0.0,21.2,0,0,512,8,80
11834.2333,0.0,20.56,0.0,21.12,0,16,512,0,80
11834.4333,0.0,20.48,0.0,21.12,0,16,512,0,80
11834.6333,0.6333,20.56,0.0,21.12,0,16,512,0,80
11834.8333,0.0,20.56,0.0,21.2,0,0,528,0,80
11835.0333,0.1333,20.48,0.0,21.12,0,16,512,0,80
11835.2333,-22.4,20.57,0.0167,21.12,0,0,512,0,80
11835.4333,-27.2,20.56,0.0,21.24,0,0,544,0,80
11835.6333,-26.6667,20.56,0.0,21.205,0,0,512,16,80
11835.8333,-25.0667,20.48,0.0167,21.12,0,0,514,16,80
11836.0333,-20.2667,20.56,0.0,21.12,0,0,513,16,80
11836.2333,-17.6,20.48,0.0,21.12,0,0,513,16,80
11836.4333,2.1667,20.48,0.0,21.12,8,0,548,16,80
11836.6333,18.1333,20.56,0.0,21.2,4,32,512,16,80
11836.8333,21.3333,20.485,0.0,21.12,0,2,512,16,80
11837.0333,22.9333,20.48,0.0,21.12,0,32,512,16,80
11837.2333,24.0,20.56,0.0167,21.125,0,0,512,24,80
11837.4333,25.0667,20.48,0.0,21.12,0,0,514,0,80
11837.6333,28.2667,20.56,0.0,21.12,0,16,512,0,80
11837.8333,22.9333,20.48,0.0,21.16,0,16,512,128,80
11838.0333,0.2,20.48,0.0,21.205,0,18,576,128,80
11838.2333,0.0,20.49,0.0,21.12,0,16,512,128,80
11838.4333,0.5333,20.58,0.0,21.16,0,0,512,128,80
11838.6333,0.0,20.5,0.0,21.2,0,0,512,128,80
11838.8333,0.6,20.48,0.0,21.2,0,0,576,128,80
11839.0333,0.6667,20.56,0.0,21.205,4,0,512,128,80
11839.2333,0.6,20.48,0.0167,21.12,0,16,576,128,80
11839.4333,0.0667,20.56,0.0,21.2,0,4,512,128,80
11839.6333,-17.0667,20.48,0.0,21.12,0,0,512,128,80
11839.8333,-10.4,20.56,0.0167,21.2,2,1,576,128,80
11840.0333,8.5333,20.48,0.0,21.2,0,0,576,128,80
11840.2333,14.9333,20.48,0.0,21.12,0,0,513,128,80
11840.4333,18.1333,20.48,0.0,21.12,0,0,512,136,80
11840.6333,21.8667,20.49,0.0,21.2,0,32,512,128,80
11840.8333,21.8667,20.56,0.0,21.12,0,0,512,128,80
11841.0333,28.8333,20.48,0.0,21.12,0,32,512,128,80
11841.2333,25.0667,20.56,0.0,21.2,0,32,512,128,80
11841.4333,12.3333,20.56,0.0,21.2,0,0,576,128,80
11841.6333,-0.5333,20.54,0.0,21.2,0,0,576,128,80
11841.8333,-0.5333,20.48,0.0,21.2,0,0,546,128,80
11842.0333,-0.4667,20.57,0.0,21.2,0,34,512,144,80
11842.2333,-0.4667,20.56,0.0,21.12,0,8,544,144,80
11842.4333,-0.5333,20.48,0.0,21.2,4,0,512,144,80
11842.6333,0.6,20.56,0.0,21.12,0,0,576,144,80
11842.8333,0.5333,20.48,0.0167,20.48,0,2,512,144,80
11843.0333,0.0,20.48,0.0,21.2,0,8,548,144,80
11843.2333,0.0,20.5,0.0,21.2,2,0,516,144,80
11843.4333,0.0,20.56,0.0,21.24,0,2,513,144,80
11843.6333,0.6,20.56,0.0167,21.2,4,8,544,152,80
11843.8333,1.0667,20.48,0.0167,21.12,0,0,512,128,80
11844.0333,0.0667,20.48,0.0,21.12,0,0,520,128,80
11844.2333,-22.3333,20.56,0.0,20.48,0,0,512,160,80
11844.4333,-12.8,20.56,0.0,21.12,0,0,512,160,80
11844.6333,1.0667,20.48,0.0,21.12,8,36,544,160,80
11844.8333,11.7333,20.56,0.0,21.2,0,4,512,0,80
11845.0333,14.9333,20.48,0.0,21.2,0,37,544,0,80
11845.2333,14.4333,20.5,0.0,21.12,4,0,548,0,80
11845.4333,15.4667,20.48,0.0,21.12,0,32,512,0,80
11845.6333,16.0333,20.58,0.0,21.12,0,32,512,0,80
11845.8333,13.3667,20.56,0.0,21.18,1,0,512,0,80
11846.0333,-0.4667,20.56,0.0,21.125,0,17,512,0,80
11846.2333,-14.3333,20.56,0.0,21.12,0,32,514,0,80
11846.4333,-29.2667,20.485,0.0,21.12,0,32,512,0,80
11846.6333,-29.8667,20.48,0.0,21.12,0,32,512,0,80
11846.8333,-24.5333,20.48,0.0,21.12,0,16,512,8,80
11847.0333,0.1333,20.56,0.0167,21.12,0,16,512,0,80
11847.2333,0.1333,20.5,0.0,21.12,2,16,544,0,80
11847.4333,0.1333,20.48,0.0,21.14,0,16,516,0,80
11847.6333,0.6667,20.49,0.0,21.18,0,0,512,0,80
11847.8333,0.5333,20.56,0.0,21.2,0,0,512,0,80
11848.0333,0.5333,20.48,0.0,21.12,8,0,544,0,80
11848.2333,1.1667,20.48,0.0167,21.12,0,16,513,0,80
11848.4333,0.5333,20.48,0.0167,21.125,2,0,512,16,80
11848.6333,0.5667,20.5,0.0,21.12,0,16,520,16,80
11848.8333,-2.0,20.48,0.0167,21.125,0,8,512,16,80
11849.0333,-10.6667,20.48,0.0167,21.14,0,32,512,16,80
11849.2333,-16.9333,20.48,0.0167,21.12,0,32,544,16,80
11849.4333,-19.2,20.49,0.0,21.125,0,32,512,16,80
11849.6333,-22.3333,20.5,0.0,21.12,0,0,512,16,80
11849.8333,-18.1333,20.56,0.0,21.12,4,0,512,16,80
11850.0333,-16.5333,20.48,0.0,21.12,4,0,514,24,80
11850.2333,-13.8667,20.485,0.0167,21.14,0,0,512,0,80
11850.4333,4.3,20.56,0.0,21.12,2,0,516,0,80
11850.6333,15.4667,20.48,0.0,21.12,0,0,512,0,80
11850.8333,19.7333,20.48,0.0,21.12,0,0,260,0,80
11851.0333,21.3333,20.56,0.0,21.12,0,0,288,0,80
11851.2333,22.9333,20.48,0.0,21.12,0,0,4,0,80
11851.4333,25.0667,20.48,0.0167,21.16,8,20,256,0,80
11851.6333,14.9333,20.48,0.0167,21.12,8,8,256,0,80
11851.8333,0.1333,20.48,0.0,21.12,0,16,256,0,80
11852.0333,0.5333,20.48,0.0,21.12,0,16,256,0,80
11852.2333,0.2,20.49,0.0,21.12,0,0,288,0,80
11852.4333,0.6667,20.48,0.0,21.24,0,0,260,0,80
11852.6333,0.5667,20.48,0.0,21.12,0,0,256,0,80
11852.8333,0.5333,20.49,0.0167,21.12,0,8,260,0,80
11853.0333,0.6,20.56,0.0,21.12,0,16,256,0,80
11853.2333,0.6,20.48,0.0,21.12,0,8,258,8,80
11853.4333,0.0,20.48,0.0,21.12,0,0,352,0,80
11853.6333,-1.5333,20.48,0.0,21.2,0,0,320,0,80
11853.8333,-19.0667,20.54,0.0,21.125,0,2,260,0,80
11854.0333,-12.7333,20.48,0.0,21.12,0,0,320,0,80
11854.2333,3.7333,20.48,0.0,21.12,0,0,256,0,80
11854.4333,8.0,20.48,0.0,21.12,0,0,260,0,80
11854.6333,10.1667,20.48,0.0,21.12,0,0,256,0,80
11854.8333,10.6667,20.48,0.0,21.12,0,0,256,16,80
11855.0333,9.6333,20.48,0.0,21.12,0,1,256,16,80
11855.2333,4.2667,20.48,0.0,21.12,0,32,256,16,80
11855.4333,-0.4667,20.49,0.0,21.12,0,1,256,16,80
11855.6333,-0.5333,20.56,0.0,21.12,0,0,256,16,80
11855.8333,-0.5333,20.56,0.0,21.12,0,0,352,16,80
11856.0333,-0.5333,20.56,0.0,21.12,0,0,256,16,80
11856.2333,1.0667,20.48,0.0,21.12,0,0,352,16,80
11856.4333,0.5333,20.56,0.0,21.12,0,0,256,24,80
11856.6333,0.0333,20.485,0.0,21.12,0,0,256,0,80
11856.8333,0.0,20.48,0.0,21.12,0,8,268,0,80
11857.0333,0.5333,20.48,0.0167,21.12,0,16,256,32,80
11857.2333,0.0,20.48,0.0,21.12,0,16,258,32,80
11857.4333,0.2333,20.49,0.0,21.12,0,8,256,32,80
11857.6333,0.1333,20.56,0.0,21.12,0,260,256,64,80
11857.8333,-0.9333,20.56,0.0,21.12,0,16,256,64,80
11858.0333,3.7333,20.56,0.0,21.12,0,0,256,0,80
11858.2333,5.4,20.56,0.0,21.12,0,32,257,0,80
